Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WebShopSuite,Chrome 131.0.0.0,,,14-01-2025 15:13:20,14-01-2025 15:13:40,"19,937s",PASSED
,,,,,,,
Test Cases/Login,Chrome 131.0.0.0,,,14-01-2025 15:13:21,14-01-2025 15:13:25,"4,845s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:13:21,14-01-2025 15:13:21,"0,015s",PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 15:13:21,14-01-2025 15:13:22,"1,398s",PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 131.0.0.0,,,14-01-2025 15:13:22,14-01-2025 15:13:23,"0,542s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log in""))",Chrome 131.0.0.0,,,14-01-2025 15:13:23,14-01-2025 15:13:23,"0,740s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Email_Email""), ""r.sarikaya@student.avans.nl"")",Chrome 131.0.0.0,,,14-01-2025 15:13:23,14-01-2025 15:13:24,"0,787s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Password_Password""), ""rdcf2pvC1eAK0Pf1WCwicA=="")",Chrome 131.0.0.0,,,14-01-2025 15:13:24,14-01-2025 15:13:24,"0,311s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:24,14-01-2025 15:13:25,"0,904s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:13:25,14-01-2025 15:13:25,"0,001s",PASSED
,,,,,,,
Test Cases/AddItems,Chrome 131.0.0.0,,,14-01-2025 15:13:25,14-01-2025 15:13:29,"3,749s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:13:25,14-01-2025 15:13:25,"0,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_q""), product)",Chrome 131.0.0.0,,,14-01-2025 15:13:25,14-01-2025 15:13:26,"0,641s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_button-1 search-box-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:26,14-01-2025 15:13:27,"0,700s",PASSED
"xpath = ""//div[@class='product-item' and @data-productid='"" + id + ""']//a""",Chrome 131.0.0.0,,,14-01-2025 15:13:27,14-01-2025 15:13:27,"0,002s",PASSED
"productLink = TestObject().addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,14-01-2025 15:13:27,14-01-2025 15:13:27,"0,009s",PASSED
click(productLink),Chrome 131.0.0.0,,,14-01-2025 15:13:27,14-01-2025 15:13:28,"1,279s",PASSED
randomNumber = 2 + Math.random() * 10 - 2 + 1,Chrome 131.0.0.0,,,14-01-2025 15:13:28,14-01-2025 15:13:28,"0,021s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_addtocart_"" + id + "".EnteredQuantity""), randomNumber.toString())",Chrome 131.0.0.0,,,14-01-2025 15:13:28,14-01-2025 15:13:29,"0,735s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_add-to-cart-button-"" + id))",Chrome 131.0.0.0,,,14-01-2025 15:13:29,14-01-2025 15:13:29,"0,272s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:13:29,14-01-2025 15:13:29,"0,000s",PASSED
,,,,,,,
Test Cases/AddItems,Chrome 131.0.0.0,,,14-01-2025 15:13:29,14-01-2025 15:13:33,"3,965s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:13:29,14-01-2025 15:13:29,"0,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_q""), product)",Chrome 131.0.0.0,,,14-01-2025 15:13:29,14-01-2025 15:13:30,"0,848s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_button-1 search-box-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:30,14-01-2025 15:13:31,"0,680s",PASSED
"xpath = ""//div[@class='product-item' and @data-productid='"" + id + ""']//a""",Chrome 131.0.0.0,,,14-01-2025 15:13:31,14-01-2025 15:13:31,"0,000s",PASSED
"productLink = TestObject().addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,14-01-2025 15:13:31,14-01-2025 15:13:31,"0,000s",PASSED
click(productLink),Chrome 131.0.0.0,,,14-01-2025 15:13:31,14-01-2025 15:13:32,"1,416s",PASSED
randomNumber = 2 + Math.random() * 10 - 2 + 1,Chrome 131.0.0.0,,,14-01-2025 15:13:32,14-01-2025 15:13:32,"0,000s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_addtocart_"" + id + "".EnteredQuantity""), randomNumber.toString())",Chrome 131.0.0.0,,,14-01-2025 15:13:32,14-01-2025 15:13:33,"0,738s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_add-to-cart-button-"" + id))",Chrome 131.0.0.0,,,14-01-2025 15:13:33,14-01-2025 15:13:33,"0,270s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:13:33,14-01-2025 15:13:33,"0,001s",PASSED
,,,,,,,
Test Cases/Order,Chrome 131.0.0.0,,,14-01-2025 15:13:33,14-01-2025 15:13:39,"5,405s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:13:33,14-01-2025 15:13:33,"0,001s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Shopping Cart/span_Shopping cart""))",Chrome 131.0.0.0,,,14-01-2025 15:13:33,14-01-2025 15:13:34,"0,897s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Shopping Cart/input_I agree with the terms of service and_f529a0""))",Chrome 131.0.0.0,,,14-01-2025 15:13:34,14-01-2025 15:13:35,"0,482s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Shopping Cart/button_Checkout""))",Chrome 131.0.0.0,,,14-01-2025 15:13:35,14-01-2025 15:13:35,"0,683s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input_Fax number_button-1 new-address-next-_2f210c""))",Chrome 131.0.0.0,,,14-01-2025 15:13:35,14-01-2025 15:13:36,"0,538s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input_Fax number_PickUpInStore""))",Chrome 131.0.0.0,,,14-01-2025 15:13:36,14-01-2025 15:13:36,"0,702s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 new-address-next-step-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:36,14-01-2025 15:13:37,"0,277s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 payment-method-next-step-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:37,14-01-2025 15:13:37,"0,596s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 payment-info-next-step-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:37,14-01-2025 15:13:38,"0,588s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 confirm-order-next-step-button""))",Chrome 131.0.0.0,,,14-01-2025 15:13:38,14-01-2025 15:13:39,"0,605s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:13:39,14-01-2025 15:13:39,"0,001s",PASSED
,,,,,,,
Test Cases/Logout,Chrome 131.0.0.0,,,14-01-2025 15:13:39,14-01-2025 15:13:40,"1,708s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:13:39,14-01-2025 15:13:39,"0,001s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log out""))",Chrome 131.0.0.0,,,14-01-2025 15:13:39,14-01-2025 15:13:40,"1,547s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 15:13:40,14-01-2025 15:13:40,"0,124s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:13:40,14-01-2025 15:13:40,"0,000s",PASSED
