Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WebShopSuite,Edge Chromium 131,,,14-01-2025 15:14:52,14-01-2025 15:15:13,"21,376s",PASSED
,,,,,,,
Test Cases/Login,Edge Chromium 131,,,14-01-2025 15:14:52,14-01-2025 15:14:57,"4,929s",PASSED
Start listener action : enableSauceLabs,Edge Chromium 131,,,14-01-2025 15:14:52,14-01-2025 15:14:52,"0,013s",PASSED
"openBrowser("""")",Edge Chromium 131,,,14-01-2025 15:14:52,14-01-2025 15:14:54,"1,656s",PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Edge Chromium 131,,,14-01-2025 15:14:54,14-01-2025 15:14:55,"0,541s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log in""))",Edge Chromium 131,,,14-01-2025 15:14:55,14-01-2025 15:14:55,"0,727s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Email_Email""), ""r.sarikaya@student.avans.nl"")",Edge Chromium 131,,,14-01-2025 15:14:55,14-01-2025 15:14:56,"0,771s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Password_Password""), ""rdcf2pvC1eAK0Pf1WCwicA=="")",Edge Chromium 131,,,14-01-2025 15:14:56,14-01-2025 15:14:56,"0,306s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Edge Chromium 131,,,14-01-2025 15:14:56,14-01-2025 15:14:57,"0,780s",PASSED
Start listener action : autoUpdateJobStatus,Edge Chromium 131,,,14-01-2025 15:14:57,14-01-2025 15:14:57,"0,001s",PASSED
,,,,,,,
Test Cases/AddItems,Edge Chromium 131,,,14-01-2025 15:14:57,14-01-2025 15:15:01,"3,800s",PASSED
Start listener action : enableSauceLabs,Edge Chromium 131,,,14-01-2025 15:14:57,14-01-2025 15:14:57,"0,002s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_q""), product)",Edge Chromium 131,,,14-01-2025 15:14:57,14-01-2025 15:14:58,"0,652s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_button-1 search-box-button""))",Edge Chromium 131,,,14-01-2025 15:14:58,14-01-2025 15:14:59,"0,696s",PASSED
"xpath = ""//div[@class='product-item' and @data-productid='"" + id + ""']//a""",Edge Chromium 131,,,14-01-2025 15:14:59,14-01-2025 15:14:59,"0,001s",PASSED
"productLink = TestObject().addProperty(""xpath"", EQUALS, xpath)",Edge Chromium 131,,,14-01-2025 15:14:59,14-01-2025 15:14:59,"0,008s",PASSED
click(productLink),Edge Chromium 131,,,14-01-2025 15:14:59,14-01-2025 15:15:00,"1,325s",PASSED
randomNumber = 2 + Math.random() * 10 - 2 + 1,Edge Chromium 131,,,14-01-2025 15:15:00,14-01-2025 15:15:00,"0,020s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_addtocart_"" + id + "".EnteredQuantity""), randomNumber.toString())",Edge Chromium 131,,,14-01-2025 15:15:00,14-01-2025 15:15:01,"0,725s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_add-to-cart-button-"" + id))",Edge Chromium 131,,,14-01-2025 15:15:01,14-01-2025 15:15:01,"0,276s",PASSED
Start listener action : autoUpdateJobStatus,Edge Chromium 131,,,14-01-2025 15:15:01,14-01-2025 15:15:01,"0,002s",PASSED
,,,,,,,
Test Cases/AddItems,Edge Chromium 131,,,14-01-2025 15:15:01,14-01-2025 15:15:05,"3,964s",PASSED
Start listener action : enableSauceLabs,Edge Chromium 131,,,14-01-2025 15:15:01,14-01-2025 15:15:01,"0,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_q""), product)",Edge Chromium 131,,,14-01-2025 15:15:01,14-01-2025 15:15:02,"0,844s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_button-1 search-box-button""))",Edge Chromium 131,,,14-01-2025 15:15:02,14-01-2025 15:15:03,"0,712s",PASSED
"xpath = ""//div[@class='product-item' and @data-productid='"" + id + ""']//a""",Edge Chromium 131,,,14-01-2025 15:15:03,14-01-2025 15:15:03,"0,000s",PASSED
"productLink = TestObject().addProperty(""xpath"", EQUALS, xpath)",Edge Chromium 131,,,14-01-2025 15:15:03,14-01-2025 15:15:03,"0,000s",PASSED
click(productLink),Edge Chromium 131,,,14-01-2025 15:15:03,14-01-2025 15:15:04,"1,387s",PASSED
randomNumber = 2 + Math.random() * 10 - 2 + 1,Edge Chromium 131,,,14-01-2025 15:15:04,14-01-2025 15:15:04,"0,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_addtocart_"" + id + "".EnteredQuantity""), randomNumber.toString())",Edge Chromium 131,,,14-01-2025 15:15:04,14-01-2025 15:15:05,"0,734s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_add-to-cart-button-"" + id))",Edge Chromium 131,,,14-01-2025 15:15:05,14-01-2025 15:15:05,"0,273s",PASSED
Start listener action : autoUpdateJobStatus,Edge Chromium 131,,,14-01-2025 15:15:05,14-01-2025 15:15:05,"0,000s",PASSED
,,,,,,,
Test Cases/Order,Edge Chromium 131,,,14-01-2025 15:15:05,14-01-2025 15:15:10,"5,541s",PASSED
Start listener action : enableSauceLabs,Edge Chromium 131,,,14-01-2025 15:15:05,14-01-2025 15:15:05,"0,001s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Shopping Cart/span_Shopping cart""))",Edge Chromium 131,,,14-01-2025 15:15:05,14-01-2025 15:15:06,"0,978s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Shopping Cart/input_I agree with the terms of service and_f529a0""))",Edge Chromium 131,,,14-01-2025 15:15:06,14-01-2025 15:15:06,"0,502s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Shopping Cart/button_Checkout""))",Edge Chromium 131,,,14-01-2025 15:15:06,14-01-2025 15:15:07,"0,781s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input_Fax number_button-1 new-address-next-_2f210c""))",Edge Chromium 131,,,14-01-2025 15:15:07,14-01-2025 15:15:08,"0,506s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input_Fax number_PickUpInStore""))",Edge Chromium 131,,,14-01-2025 15:15:08,14-01-2025 15:15:08,"0,693s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 new-address-next-step-button""))",Edge Chromium 131,,,14-01-2025 15:15:08,14-01-2025 15:15:09,"0,278s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 payment-method-next-step-button""))",Edge Chromium 131,,,14-01-2025 15:15:09,14-01-2025 15:15:09,"0,586s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 payment-info-next-step-button""))",Edge Chromium 131,,,14-01-2025 15:15:09,14-01-2025 15:15:10,"0,589s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Checkout/input__button-1 confirm-order-next-step-button""))",Edge Chromium 131,,,14-01-2025 15:15:10,14-01-2025 15:15:10,"0,593s",PASSED
Start listener action : autoUpdateJobStatus,Edge Chromium 131,,,14-01-2025 15:15:10,14-01-2025 15:15:10,"0,000s",PASSED
,,,,,,,
Test Cases/Logout,Edge Chromium 131,,,14-01-2025 15:15:10,14-01-2025 15:15:13,"2,885s",PASSED
Start listener action : enableSauceLabs,Edge Chromium 131,,,14-01-2025 15:15:10,14-01-2025 15:15:10,"0,000s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log out""))",Edge Chromium 131,,,14-01-2025 15:15:10,14-01-2025 15:15:12,"1,658s",PASSED
closeBrowser(),Edge Chromium 131,,,14-01-2025 15:15:12,14-01-2025 15:15:13,"1,196s",PASSED
Start listener action : autoUpdateJobStatus,Edge Chromium 131,,,14-01-2025 15:15:13,14-01-2025 15:15:13,"0,001s",PASSED
