Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WebShopSuite,Chrome 131.0.0.0,,,14-01-2025 15:07:09,14-01-2025 15:07:32,"22,391s",FAILED
,,,,,,,
Test Cases/Login,Chrome 131.0.0.0,,,14-01-2025 15:07:09,14-01-2025 15:07:14,"4,752s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:07:10,14-01-2025 15:07:10,"0,014s",PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 15:07:10,14-01-2025 15:07:11,"1,422s",PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 131.0.0.0,,,14-01-2025 15:07:11,14-01-2025 15:07:12,"0,509s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log in""))",Chrome 131.0.0.0,,,14-01-2025 15:07:12,14-01-2025 15:07:12,"0,741s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Email_Email""), ""r.sarikaya@student.avans.nl"")",Chrome 131.0.0.0,,,14-01-2025 15:07:12,14-01-2025 15:07:13,"0,785s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Password_Password""), ""rdcf2pvC1eAK0Pf1WCwicA=="")",Chrome 131.0.0.0,,,14-01-2025 15:07:13,14-01-2025 15:07:13,"0,305s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 131.0.0.0,,,14-01-2025 15:07:13,14-01-2025 15:07:14,"0,822s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:07:14,14-01-2025 15:07:14,"0,000s",PASSED
,,,,,,,
Test Cases/AddItems,Chrome 131.0.0.0,,,14-01-2025 15:07:14,14-01-2025 15:07:18,"3,286s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:07:14,14-01-2025 15:07:14,"0,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_q""), product)",Chrome 131.0.0.0,,,14-01-2025 15:07:14,14-01-2025 15:07:15,"0,645s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_button-1 search-box-button""))",Chrome 131.0.0.0,,,14-01-2025 15:07:15,14-01-2025 15:07:16,"0,716s",PASSED
"xpath = ""//div[@class='product-item' and @data-productid='"" + id + ""']//a""",Chrome 131.0.0.0,,,14-01-2025 15:07:16,14-01-2025 15:07:16,"0,002s",PASSED
"productLink = TestObject().addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,14-01-2025 15:07:16,14-01-2025 15:07:16,"0,009s",PASSED
click(productLink),Chrome 131.0.0.0,,,14-01-2025 15:07:16,14-01-2025 15:07:17,"0,806s",PASSED
