Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WebShopSuite,Chrome 131.0.0.0,,,14-01-2025 15:14:07,14-01-2025 15:14:26,"19,414s",PASSED
,,,,,,,
Test Cases/Login,Chrome 131.0.0.0,,,14-01-2025 15:14:07,14-01-2025 15:14:12,"4,737s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:14:07,14-01-2025 15:14:07,"0,015s",PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 15:14:07,14-01-2025 15:14:09,"1,471s",PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 131.0.0.0,,,14-01-2025 15:14:09,14-01-2025 15:14:09,"0,484s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log in""))",Chrome 131.0.0.0,,,14-01-2025 15:14:09,14-01-2025 15:14:10,"0,734s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Email_Email""), ""r.sarikaya@student.avans.nl"")",Chrome 131.0.0.0,,,14-01-2025 15:14:10,14-01-2025 15:14:11,"0,790s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Password_Password""), ""rdcf2pvC1eAK0Pf1WCwicA=="")",Chrome 131.0.0.0,,,14-01-2025 15:14:11,14-01-2025 15:14:11,"0,308s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 131.0.0.0,,,14-01-2025 15:14:11,14-01-2025 15:14:12,"0,770s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:14:12,14-01-2025 15:14:12,"0,002s",PASSED
,,,,,,,
Test Cases/AddItems,Chrome 131.0.0.0,,,14-01-2025 15:14:12,14-01-2025 15:14:16,"3,838s",PASSED
Start listener action : enableSauceLabs,Chrome 131.0.0.0,,,14-01-2025 15:14:12,14-01-2025 15:14:12,"0,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_q""), product)",Chrome 131.0.0.0,,,14-01-2025 15:14:12,14-01-2025 15:14:12,"0,678s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/input_Sub-Total_button-1 search-box-button""))",Chrome 131.0.0.0,,,14-01-2025 15:14:12,14-01-2025 15:14:13,"0,683s",PASSED
"xpath = ""//div[@class='product-item' and @data-productid='"" + id + ""']//a""",Chrome 131.0.0.0,,,14-01-2025 15:14:13,14-01-2025 15:14:13,"0,002s",PASSED
"productLink = TestObject().addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,14-01-2025 15:14:13,14-01-2025 15:14:13,"0,008s",PASSED
click(productLink),Chrome 131.0.0.0,,,14-01-2025 15:14:13,14-01-2025 15:14:15,"1,344s",PASSED
randomNumber = 2 + Math.random() * 10 - 2 + 1,Chrome 131.0.0.0,,,14-01-2025 15:14:15,14-01-2025 15:14:15,"0,020s",PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_addtocart_"" + id + "".EnteredQuantity""), randomNumber.toString())",Chrome 131.0.0.0,,,14-01-2025 15:14:15,14-01-2025 15:14:15,"0,734s",PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. "" + product + ""/input_Qty_add-to-cart-button-"" + id))",Chrome 131.0.0.0,,,14-01-2025 15:14:15,14-01-2025 15:14:16,"0,281s",PASSED
Start listener action : autoUpdateJobStatus,Chrome 131.0.0.0,,,14-01-2025 15:14:16,14-01-2025 15:14:16,"0,001s",PASSED
,,,,,,,
Test Cases/AddItems,Chrome 131.0.0.0,,,14-01-2025 15:14:16,14-01-2025 15:14:19,"3,380s",PASSED
